fr_publication_date,category,title,fr_url
2009-09-29,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/09/29/E9-23440/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-09-30,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Two-Day Meeting,https://www.federalregister.gov/documents/2009/09/30/E9-23460/hit-policy-committee-advisory-meeting-notice-of-two-day-meeting
2009-10-06,workgroup,HIT Policy Committee's Information Exchange Workgroup Meeting,https://www.federalregister.gov/documents/2009/10/06/E9-24041/hit-policy-committees-information-exchange-workgroup-meeting
2009-10-19,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Implementation Workgroup Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/10/19/E9-25051/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2009-11-10,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/11/10/E9-26981/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-11-30,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/11/30/E9-28583/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-11-30,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/11/30/E9-28621/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-01-04,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/01/04/E9-31181/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-01-04,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/01/04/E9-31186/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-01-05,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/01/05/E9-31347/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-01-05,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/01/05/E9-31348/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-01-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/01/25/2010-1231/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-01-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/01/25/2010-1235/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-02-03,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/02/03/2010-2213/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-02-03,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/02/03/2010-2214/hit-standards-committee-advisory-meeting-notice-of-meeting
2010-02-23,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/02/23/2010-3547/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-02-23,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/02/23/2010-3548/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-02-26,HITPC meeting,Office of the National Coordinator for Health Information Technology HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/02/26/2010-4041/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-02-26,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/02/26/2010-4069/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-03-17,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/03/17/2010-5783/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-03-17,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/03/17/2010-5784/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-03-31,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/03/31/2010-6600/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-03-31,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/03/31/2010-6601/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-04-07,HITPC meeting,Office of the National Coordinator for Health Information Technology HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/04/07/2010-7902/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-04-26,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/04/26/2010-9575/hit-standards-committee-advisory-meeting-notice-of-meeting
2010-04-26,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/04/26/2010-9577/hit-standards-committees-workgroup-meetings-notice-of-meetings
2010-04-26,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/04/26/2010-9578/hit-policy-committee-advisory-meeting-notice-of-meeting
2010-04-26,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/04/26/2010-9579/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-05-27,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/05/27/2010-12706/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-05-27,HITSC (standards),Office of the National Coordinator for Health Information Technology: HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/05/27/2010-12710/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-05-27,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/05/27/2010-12711/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-05-27,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/05/27/2010-12715/hit-policy-committees-workgroup-meetings-notice-of-meetings
2010-06-08,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee; Notice and Publication of Committee Recommendations to the National Coordinator for Health Information Technology,https://www.federalregister.gov/documents/2010/06/08/2010-13683/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee-notice
2010-06-16,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/06/16/2010-14397/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-06-28,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/06/28/2010-15566/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-06-28,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/06/28/2010-15567/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-07-20,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/07/20/2010-16945/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-07-20,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/07/20/2010-16950/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-08-23,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/08/23/2010-20825/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-08-23,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/08/23/2010-20826/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-08-23,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/08/23/2010-20828/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-08-23,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/08/23/2010-20829/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-09-17,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/09/17/2010-23256/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-09-17,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/09/17/2010-23257/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-09-17,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/09/17/2010-23258/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-09-17,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/09/17/2010-23259/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-09-20,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/09/20/2010-23311/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-10-08,admin/schedule,Office of the National Coordinator for Health Information Technology; HIT Standards Committee Schedule for the Assessment of HIT Policy Committee Recommendations,https://www.federalregister.gov/documents/2010/10/08/2010-25345/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-10-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/10/25/2010-26916/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-10-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/10/25/2010-26919/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2010-10-25,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/10/25/2010-26920/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-10-26,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/10/26/2010-26918/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-11-19,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/11/19/2010-29217/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2010-11-19,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/11/19/2010-29219/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2010-11-19,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/11/19/2010-29220/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2010-11-19,workgroup,Office of the National Coordinator for Health Information Technology; HIT; Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2010/11/19/2010-29221/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2011-01-10,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/01/10/2011-189/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2011-01-10,workgroup,Office of the National Coordinator for Health Information Technology HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/01/10/2011-190/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2011-01-10,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/01/10/2011-194/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2011-01-18,workgroup,HIT Policy Committee's Meaningful Use Workgroup Meetings; Notice of Meetings and Request for Comments,https://www.federalregister.gov/documents/2011/01/18/2011-885/hit-policy-committees-meaningful-use-workgroup-meetings-notice-of-meetings-and-request-for-comments
2011-01-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/01/25/2011-1400/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2011-01-25,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/01/25/2011-1402/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2011-01-25,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/01/25/2011-1412/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2011-01-25,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/01/25/2011-1413/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2011-02-22,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/02/22/2011-3842/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-02-22,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/02/22/2011-3844/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees-workgroup
2011-02-22,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/02/22/2011-3845/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2011-02-22,workgroup,Office of the National Coordinator for Health Information Technology; HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/02/22/2011-3846/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committees
2011-02-25,HITPC meeting,Office of the National Coordinator for Health Information Technology; Recommendations Received From the HIT Policy Committee,https://www.federalregister.gov/documents/2011/02/25/2011-4290/office-of-the-national-coordinator-for-health-information-technology-recommendations-received-from
2011-03-18,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/03/18/2011-6406/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-03-18,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/03/18/2011-6407/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-03-18,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/03/18/2011-6408/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-03-18,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/03/18/2011-6409/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-03-29,other/ONC,Federal Health IT Strategic Plan: 2011-2015 Open Comment Period,https://www.federalregister.gov/documents/2011/03/29/2011-7318/federal-health-it-strategic-plan-2011-2015-open-comment-period
2011-04-21,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/04/21/2011-9690/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-04-21,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/04/21/2011-9691/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-04-21,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/04/21/2011-9694/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-04-21,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/04/21/2011-9696/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-05-04,admin/schedule,HIT Standards Committee; Schedule for the Assessment of HIT Policy Committee Recommendations,https://www.federalregister.gov/documents/2011/05/04/2011-10871/hit-standards-committee-schedule-for-the-assessment-of-hit-policy-committee-recommendations
2011-05-18,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/05/18/2011-12106/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-05-18,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/05/18/2011-12107/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-05-18,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/05/18/2011-12110/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-05-18,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/05/18/2011-12112/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-07-05,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/07/05/2011-16719/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-07-05,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/07/05/2011-16747/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-07-05,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/07/05/2011-16749/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-07-05,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/07/05/2011-16755/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-08-02,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/08/02/2011-19536/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-08-02,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/08/02/2011-19550/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-08-02,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/08/02/2011-19551/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-08-02,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/08/02/2011-19555/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-08-16,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/08/16/2011-20808/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-08-16,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/08/16/2011-20809/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-08-16,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/08/16/2011-20811/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-08-16,workgroup,HIT Standards Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/08/16/2011-20815/hit-standards-committees-workgroup-meetings-notice-of-meetings
2011-09-09,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/09/09/2011-23042/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-09-09,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/09/09/2011-23049/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-09-09,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/09/09/2011-23050/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-11-14,workgroup,HIT Policy Committee's Workgroup Meetings; Notice of Meetings,https://www.federalregister.gov/documents/2011/11/14/2011-29342/hit-policy-committees-workgroup-meetings-notice-of-meetings
2011-11-14,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/11/14/2011-29355/hit-policy-committee-advisory-meeting-notice-of-meeting
2011-11-14,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/11/14/2011-29356/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-12-22,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/12/22/2011-32790/hit-standards-committee-advisory-meeting-notice-of-meeting
2011-12-22,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2011/12/22/2011-32792/hit-policy-committee-advisory-meeting-notice-of-meeting
2012-01-19,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/01/19/2012-1012/hit-policy-committee-advisory-meeting-notice-of-meeting
2012-01-19,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/01/19/2012-1013/hit-standards-committee-advisory-meeting-notice-of-meeting
2012-03-16,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/03/16/2012-6433/hit-standards-committee-advisory-meeting-notice-of-meeting
2012-03-16,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/03/16/2012-6437/hit-policy-committee-advisory-meeting-notice-of-meeting
2012-03-19,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/03/19/2012-6434/hit-standards-committee-advisory-meeting-notice-of-meeting
2012-04-17,HITSC (standards),HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2012/04/17/2012-9132/hit-standards-committee-advisory-meeting-notice-of-meeting
